ticker,company,aliases,country,sector,idx_code,idx_board,listed_shares,listing_date_raw
AALI.JK,Astra Agro Lestari Tbk.,AALI;AALI.JK;Astra Agro Lestari Tbk.;Astra Agro Lestari,Indonesia,,AALI,Utama,1924688333,09 Des 1997
ABBA.JK,Mahaka Media Tbk.,ABBA;ABBA.JK;Mahaka Media Tbk.;Mahaka Media,Indonesia,,ABBA,Pemantauan Khusus,3935892857,03 Apr 2002
ABDA.JK,Asuransi Bina Dana Arta Tbk.,ABDA;ABDA.JK;Asuransi Bina Dana Arta Tbk.;Asuransi Bina Dana Arta,Indonesia,,ABDA,Pengembangan,620806680,06 Jul 1989
ABMM.JK,ABM Investama Tbk.,ABMM;ABMM.JK;ABM Investama Tbk.;ABM Investama,Indonesia,,ABMM,Utama,2753165000,06 Des 2011
ACES.JK,Aspirasi Hidup Indonesia Tbk.,ACES;ACES.JK;Aspirasi Hidup Indonesia Tbk.;Aspirasi Hidup Indonesia,Indonesia,,ACES,Utama,17120389700,06 Nov 2007
ACST.JK,Acset Indonusa Tbk.,ACST;ACST.JK;Acset Indonusa Tbk.;Acset Indonusa,Indonesia,,ACST,Pemantauan Khusus,17675160000,24 Jun 2013
ADES.JK,Akasha Wira International Tbk.,ADES;ADES.JK;Akasha Wira International Tbk.;Akasha Wira International,Indonesia,,ADES,Utama,589896800,13 Jun 1994
ADHI.JK,Adhi Karya (Persero) Tbk.,ADHI;ADHI.JK;Adhi Karya (Persero) Tbk.;Adhi Karya (),Indonesia,,ADHI,Utama,8407608979,18 Mar 2004
AISA.JK,FKS Food Sejahtera Tbk.,AISA;AISA.JK;FKS Food Sejahtera Tbk.;FKS Food Sejahtera,Indonesia,,AISA,Utama,9311800000,11 Jun 1997
AKKU.JK,Anugerah Kagum Karya Utama Tbk,AKKU;AKKU.JK;Anugerah Kagum Karya Utama Tbk;Anugerah Kagum Karya Utama,Indonesia,,AKKU,Pemantauan Khusus,6449463636,01 Nov 2004
AKPI.JK,Argha Karya Prima Industry Tbk,AKPI;AKPI.JK;Argha Karya Prima Industry Tbk;Argha Karya Prima Industry,Indonesia,,AKPI,Pengembangan,612248000,18 Des 1992
AKRA.JK,AKR Corporindo Tbk.,AKRA;AKRA.JK;AKR Corporindo Tbk.;AKR Corporindo,Indonesia,,AKRA,Utama,20073474600,03 Okt 1994
AKSI.JK,Mineral Sumberdaya Mandiri Tbk,AKSI;AKSI.JK;Mineral Sumberdaya Mandiri Tbk;Mineral Sumberdaya Mandiri,Indonesia,,AKSI,Pengembangan,720000000,13 Jul 2001
